"category","region","state","year","amount"
"Population_(Thousands)","Mideast","Delaware",1994,718
"Population_(Thousands)","Mideast","District of Columbia",1994,589
"Population_(Thousands)","Southeast","Florida",1994,14239
"Population_(Thousands)","Southeast","Georgia",1994,7157
"Population_(Thousands)","Far West","Hawaii",1994,1188
"Population_(Thousands)","Rocky Mountains","Idaho",1994,1145
"Population_(Thousands)","Great Lakes","Illinois",1994,11913
"Population_(Thousands)","Great Lakes","Indiana",1994,5794
"Population_(Thousands)","Plains","Iowa",1994,2851
"Population_(Thousands)","Plains","Kansas",1994,2581
"Population_(Thousands)","Southeast","Kentucky",1994,3849
"Population_(Thousands)","Southeast","Louisiana",1994,4347
"Population_(Thousands)","New England","Maine",1994,1243
"Population_(Thousands)","Mideast","Maryland",1994,5023
"Population_(Thousands)","New England","Massachusetts",1994,6095
"Population_(Thousands)","Great Lakes","Michigan",1994,9598
"Population_(Thousands)","Plains","Minnesota",1994,4610
"Population_(Thousands)","Southeast","Mississippi",1994,2689
"Population_(Thousands)","Plains","Missouri",1994,5324
"Population_(Thousands)","Rocky Mountains","Montana",1994,861
"Population_(Thousands)","Plains","Nebraska",1994,1639
"Population_(Thousands)","Far West","Nevada",1994,1499
"Population_(Thousands)","New England","New Hampshire",1994,1143
"Population_(Thousands)","Mideast","New Jersey",1994,8014
"Population_(Thousands)","Southwest","New Mexico",1994,1682
"Population_(Thousands)","Mideast","New York",1994,18459
"Population_(Thousands)","Southeast","North Carolina",1994,7187
"Population_(Thousands)","Plains","North Dakota",1994,645
"Population_(Thousands)","Great Lakes","Ohio",1994,11152
"Population_(Thousands)","Southwest","Oklahoma",1994,3281
"Population_(Thousands)","Far West","Oregon",1994,3121
"Population_(Thousands)","Mideast","Pennsylvania",1994,12166
"Population_(Thousands)","New England","Rhode Island",1994,1016
"Population_(Thousands)","Southeast","South Carolina",1994,3705
"Population_(Thousands)","Plains","South Dakota",1994,731
"Population_(Thousands)","Southeast","Tennessee",1994,5231
"Population_(Thousands)","Southwest","Texas",1994,18564
"Population_(Thousands)","Rocky Mountains","Utah",1994,1960
"Population_(Thousands)","New England","Vermont",1994,584
"Population_(Thousands)","Southeast","Virginia",1994,6593
"Population_(Thousands)","Far West","Washington",1994,5375
"Population_(Thousands)","Southeast","West Virginia",1994,1820
"Population_(Thousands)","Great Lakes","Wisconsin",1994,5134
"Population_(Thousands)","Rocky Mountains","Wyoming",1994,480
"Population_(Thousands)","Southeast","Alabama",1995,4297
"Population_(Thousands)","Far West","Alaska",1995,604
"Population_(Thousands)","Southwest","Arizona",1995,4432
"Population_(Thousands)","Southeast","Arkansas",1995,2535
"Population_(Thousands)","Far West","California",1995,31697
"Population_(Thousands)","Rocky Mountains","Colorado",1995,3827
"Population_(Thousands)","New England","Connecticut",1995,3324
"Population_(Thousands)","Mideast","Delaware",1995,730
"Population_(Thousands)","Mideast","District of Columbia",1995,581
"Population_(Thousands)","Southeast","Florida",1995,14538
"Population_(Thousands)","Southeast","Georgia",1995,7328
"Population_(Thousands)","Far West","Hawaii",1995,1197
"Population_(Thousands)","Rocky Mountains","Idaho",1995,1177
"Population_(Thousands)","Great Lakes","Illinois",1995,12008
"Population_(Thousands)","Great Lakes","Indiana",1995,5851
"Population_(Thousands)","Plains","Iowa",1995,2867
"Population_(Thousands)","Plains","Kansas",1995,2601
"Population_(Thousands)","Southeast","Kentucky",1995,3887
"Population_(Thousands)","Southeast","Louisiana",1995,4379
"Population_(Thousands)","New England","Maine",1995,1243
"Population_(Thousands)","Mideast","Maryland",1995,5070
"Population_(Thousands)","New England","Massachusetts",1995,6141
"Population_(Thousands)","Great Lakes","Michigan",1995,9676
"Population_(Thousands)","Plains","Minnesota",1995,4660
"Population_(Thousands)","Southeast","Mississippi",1995,2723
"Population_(Thousands)","Plains","Missouri",1995,5378
"Population_(Thousands)","Rocky Mountains","Montana",1995,877
"Population_(Thousands)","Plains","Nebraska",1995,1657
"Population_(Thousands)","Far West","Nevada",1995,1582
"Population_(Thousands)","New England","New Hampshire",1995,1158
"Population_(Thousands)","Mideast","New Jersey",1995,8083
"Population_(Thousands)","Southwest","New Mexico",1995,1720
"Population_(Thousands)","Mideast","New York",1995,18524
"Population_(Thousands)","Southeast","North Carolina",1995,7345
"Population_(Thousands)","Plains","North Dakota",1995,648
"Population_(Thousands)","Great Lakes","Ohio",1995,11203
"Population_(Thousands)","Southwest","Oklahoma",1995,3308
"Population_(Thousands)","Far West","Oregon",1995,3184
"Population_(Thousands)","Mideast","Pennsylvania",1995,12198
"Population_(Thousands)","New England","Rhode Island",1995,1017
"Population_(Thousands)","Southeast","South Carolina",1995,3749
"Population_(Thousands)","Plains","South Dakota",1995,738
"Population_(Thousands)","Southeast","Tennessee",1995,5327
"Population_(Thousands)","Southwest","Texas",1995,18959
"Population_(Thousands)","Rocky Mountains","Utah",1995,2014
"Population_(Thousands)","New England","Vermont",1995,589
"Population_(Thousands)","Southeast","Virginia",1995,6671
"Population_(Thousands)","Far West","Washington",1995,5481
"Population_(Thousands)","Southeast","West Virginia",1995,1824
"Population_(Thousands)","Great Lakes","Wisconsin",1995,5185
"Population_(Thousands)","Rocky Mountains","Wyoming",1995,485
"Population_(Thousands)","Southeast","Alabama",1996,4331
"Population_(Thousands)","Far West","Alaska",1996,609
"Population_(Thousands)","Southwest","Arizona",1996,4587
"Population_(Thousands)","Southeast","Arkansas",1996,2572
"Population_(Thousands)","Far West","California",1996,32019
"Population_(Thousands)","Rocky Mountains","Colorado",1996,3920
"Population_(Thousands)","New England","Connecticut",1996,3337
"Population_(Thousands)","Mideast","Delaware",1996,741
"Population_(Thousands)","Mideast","District of Columbia",1996,572
